,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
0,hmd,1,1.177396297454834,0.930195689201355,-1.211290717124939,177.6614392396244,129.88782350973085,-165.11110595224338
1,controller,1,1.177396297454834,0.930195689201355,-1.211290717124939,177.6614392396244,129.88782350973085,-165.11110595224338
2,hmd,1,1.1774038076400757,0.9302018880844116,-1.2112928628921509,177.66301699042398,129.88869391775646,-165.11240406902527
3,controller,1,1.1774038076400757,0.9302018880844116,-1.2112928628921509,177.66301699042398,129.88869391775646,-165.11240406902527
4,hmd,1,1.1775269508361816,0.9303228855133057,-1.2110329866409302,177.66115004649612,129.8852428025339,-165.11508977522698
5,controller,1,1.1775269508361816,0.9303228855133057,-1.2110329866409302,177.66115004649612,129.8852428025339,-165.11508977522698
6,hmd,1,1.1775023937225342,0.9302314519882202,-1.2112518548965454,177.6605659078577,129.8869417165718,-165.11334998817438
7,controller,1,1.1775023937225342,0.9302314519882202,-1.2112518548965454,177.6605659078577,129.8869417165718,-165.11334998817438
8,hmd,1,1.1776889562606812,0.930329442024231,-1.2108575105667114,177.6618207267242,129.88436578403292,-165.12228919850713
9,controller,1,1.1776889562606812,0.930329442024231,-1.2108575105667114,177.6618207267242,129.88436578403292,-165.12228919850713
10,hmd,1,1.1774637699127197,0.9301667213439941,-1.2111197710037231,177.6721434050527,129.8903763978726,-165.12339559222715
11,controller,1,1.1774637699127197,0.9301667213439941,-1.2111197710037231,177.6721434050527,129.8903763978726,-165.12339559222715
12,hmd,1,1.1775426864624023,0.9302949905395508,-1.2109383344650269,177.66891971829403,129.88686496418217,-165.12192395887035
13,controller,1,1.1775426864624023,0.9302949905395508,-1.2109383344650269,177.66891971829403,129.88686496418217,-165.12192395887035
14,hmd,1,1.177560806274414,0.9303077459335327,-1.2109087705612183,177.6690991401354,129.88640174937282,-165.12103642067532
15,controller,1,1.177560806274414,0.9303077459335327,-1.2109087705612183,177.6690991401354,129.88640174937282,-165.12103642067532
16,hmd,1,1.1774383783340454,0.9302452802658081,-1.2109681367874146,177.67336478620047,129.88884806444028,-165.12120706750505
17,controller,1,1.1774383783340454,0.9302452802658081,-1.2109681367874146,177.67336478620047,129.88884806444028,-165.12120706750505
18,hmd,1,1.177445650100708,0.9302554130554199,-1.2109357118606567,177.67179064657952,129.8886272156197,-165.12086029628296
19,controller,1,1.177445650100708,0.9302554130554199,-1.2109357118606567,177.67179064657952,129.8886272156197,-165.12086029628296
20,hmd,1,1.1773626804351807,0.9302412271499634,-1.2109755277633667,177.67138016471844,129.8909279911469,-165.11847643000172
21,controller,1,1.1773626804351807,0.9302412271499634,-1.2109755277633667,177.67138016471844,129.8909279911469,-165.11847643000172
22,hmd,1,1.1773600578308105,0.9302492141723633,-1.2109462022781372,177.67217478797184,129.88948627502867,-165.12015744802108
23,controller,1,1.1773600578308105,0.9302492141723633,-1.2109462022781372,177.67217478797184,129.88948627502867,-165.12015744802108
24,hmd,1,1.17745041847229,0.930296778678894,-1.2108248472213745,177.670051600708,129.8882873939168,-165.12059550155956
25,controller,1,1.17745041847229,0.930296778678894,-1.2108248472213745,177.670051600708,129.8882873939168,-165.12059550155956
26,hmd,1,1.1774500608444214,0.9303019046783447,-1.2107964754104614,177.66882343369832,129.8874952726852,-165.1202940910473
27,controller,1,1.1774500608444214,0.9303019046783447,-1.2107964754104614,177.66882343369832,129.8874952726852,-165.1202940910473
28,hmd,1,1.1773451566696167,0.9301791191101074,-1.2110270261764526,177.67099953740737,129.8881316463313,-165.12191702680815
29,controller,1,1.1773451566696167,0.9301791191101074,-1.2110270261764526,177.67099953740737,129.8881316463313,-165.12191702680815
30,hmd,1,1.1774057149887085,0.93028724193573,-1.2108529806137085,177.66717665508773,129.88727923499385,-165.11908496973686
31,controller,1,1.1774057149887085,0.93028724193573,-1.2108529806137085,177.66717665508773,129.88727923499385,-165.11908496973686
32,hmd,1,1.1772754192352295,0.9301421642303467,-1.2111130952835083,177.67164378144915,129.88950728398163,-165.11884117415252
33,controller,1,1.1772754192352295,0.9301421642303467,-1.2111130952835083,177.67164378144915,129.88950728398163,-165.11884117415252
34,hmd,1,1.177325963973999,0.9302562475204468,-1.2109578847885132,177.66731026891787,129.88718956534873,-165.11431644853235
35,controller,1,1.177325963973999,0.9302562475204468,-1.2109578847885132,177.66731026891787,129.88718956534873,-165.11431644853235
36,hmd,1,1.1772558689117432,0.9301583766937256,-1.2111455202102661,177.66825537334125,129.89072686162098,-165.11413866693354
