,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
3497,controller,2,1.2610359191894531,0.8020484447479248,-1.5622988939285278,3.859348281268189,-65.65796335101146,18.518888890901646
3498,hmd,1,1.0946526527404785,0.8189810514450073,-1.5683189630508423,179.91751193221666,-177.6935068837658,-170.0655956348065
3499,controller,1,1.734278917312622,1.7494657039642334,-2.6558666229248047,-140.62336471695144,164.26628478503966,-115.6152277013038
3500,controller,2,1.2607126235961914,0.8018736839294434,-1.562895655632019,3.8530843248483153,-65.65859204723024,18.504511660328035
3501,hmd,1,1.094674825668335,0.8190499544143677,-1.568316102027893,179.9155269513309,-177.69567360002324,-170.0667691091011
3502,controller,1,1.732528805732727,1.7262921333312988,-2.641328811645508,-136.9192640411542,166.23010358354972,-119.31140557870286
3503,controller,2,1.260696530342102,0.8019016981124878,-1.5628196001052856,3.8539604727079135,-65.65872848803022,18.50501997056162
3504,hmd,1,1.0947034358978271,0.8190308809280396,-1.5682820081710815,179.91469511266607,-177.693831330072,-170.06777708889442
3505,controller,1,1.7315866947174072,1.7019987106323242,-2.6282224655151367,-133.36746798222634,168.68969874488207,-122.95354520181934
3506,controller,2,1.260833501815796,0.80185866355896,-1.5626009702682495,3.856560171641615,-65.65857218488699,18.518473327544292
3507,hmd,1,1.094799518585205,0.8189939260482788,-1.5683070421218872,179.91115484325798,-177.69705922479335,-170.06694485674822
3508,controller,1,1.7313127517700195,1.6733070611953735,-2.614797592163086,-129.47105751905147,172.19686493273895,-127.00627568537034
3509,controller,2,1.2608363628387451,0.8018864393234253,-1.5625087022781372,3.8542573499523143,-65.65806051326845,18.518091995753156
3510,hmd,1,1.0948452949523926,0.8189716339111328,-1.5680714845657349,179.91010551872077,-177.69517600658995,-170.07693164338545
3511,controller,1,1.7329246997833252,1.6425747871398926,-2.602602958679199,-125.74042259093213,176.86883465913877,-130.96961259441792
3512,controller,2,1.2609649896621704,0.801741361618042,-1.5628517866134644,3.8252498518279237,-65.66059766592831,18.502776343311673
3513,hmd,1,1.0947511196136475,0.8189077377319336,-1.568055272102356,179.91380496512215,-177.6954496800806,-170.07450762290952
3514,controller,1,1.7347668409347534,1.6116517782211304,-2.5925493240356445,-122.40122291944711,-177.2518970121401,-134.55208605425926
3515,controller,2,1.2609972953796387,0.8017696142196655,-1.562766432762146,3.825858940949096,-65.66064094765683,18.504115555354993
3516,hmd,1,1.0947387218475342,0.8189234733581543,-1.5680876970291138,179.91590638450762,-177.69267788173153,-170.07253919846409
3517,controller,1,1.737928867340088,1.5804095268249512,-2.5852184295654297,-119.18253441523653,-170.27464008831845,-137.68639976590575
3518,controller,2,1.260676622390747,0.801666259765625,-1.5632580518722534,3.8208894832990787,-65.65920295339605,18.48556390649449
3519,hmd,1,1.0947439670562744,0.8189736604690552,-1.5680521726608276,179.91392931885022,-177.69381768074584,-170.07339593999393
3520,controller,1,1.741310954093933,1.5501772165298462,-2.579627513885498,-116.0918577440214,-162.60224312976075,-140.10274896958538
3521,controller,2,1.2606886625289917,0.8017063140869141,-1.5631924867630005,3.8217584733810335,-65.65951978170554,18.486203293590698
