,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
0,hmd,1,1.079211950302124,0.7872762680053711,-1.5945578813552856,177.50595720991103,-143.80143491946748,-172.1025559974461
1,controller,1,2.083388566970825,1.2355252504348755,-2.7773289680480957,175.70899022412715,-165.720517257795,-163.92558548141335
2,controller,2,0.925525426864624,0.7999855279922485,-1.4846330881118774,26.45645132490651,-82.22468247997371,39.43181229560868
3,hmd,1,1.079216480255127,0.7872500419616699,-1.5945531129837036,177.50380817418335,-143.8018894782223,-172.1030399768935
4,controller,1,2.0834221839904785,1.2353707551956177,-2.7773170471191406,175.7072630796516,-165.72083316363782,-163.92758859698364
5,controller,2,0.9255176782608032,0.7999839782714844,-1.4846316576004028,26.456367338362483,-82.22434102215024,39.43144560030647
6,hmd,1,1.07920241355896,0.7872269153594971,-1.5946124792099,177.50602122223492,-143.80213136182599,-172.09826590483536
7,controller,1,2.0833652019500732,1.235478401184082,-2.777568817138672,175.70840105433453,-165.71650507384973,-163.90531935021883
8,controller,2,0.9254614114761353,0.800000786781311,-1.484728455543518,26.41119771008309,-82.22331644114264,39.38711106346082
9,hmd,1,1.0792083740234375,0.7872297763824463,-1.5946108102798462,177.50390649673656,-143.80323864315486,-172.1027000998726
10,controller,1,2.083362102508545,1.2354819774627686,-2.777557373046875,175.70841344366278,-165.71689289233353,-163.90390322103323
11,controller,2,0.9254529476165771,0.7999991178512573,-1.4847265481948853,26.4178480065999,-82.22355382605947,39.39377991190256
12,hmd,1,1.079179048538208,0.7872405052185059,-1.5947216749191284,177.50770463722307,-143.8021485849624,-172.09524509755565
13,controller,1,2.0834391117095947,1.2355127334594727,-2.7774901390075684,175.70486060448388,-165.71953190790487,-163.90228612802562
14,controller,2,0.9255149364471436,0.8001055717468262,-1.4847127199172974,26.407338678120293,-82.22274776787722,39.381734550772606
15,hmd,1,1.0792256593704224,0.7873133420944214,-1.59467613697052,177.50538238439643,-143.80214662895625,-172.0999701949866
16,controller,1,2.0834014415740967,1.235597014427185,-2.7775745391845703,175.70902927196684,-165.71555188013116,-163.90190879124603
